id,unit_id,status,ownership_type,date_acquired,purchase_amount,monthly_payment,payment_start_date,payment_end_date,lender,make,model,year,purchase_odometer,purchase_odometer_update,odometer,odometer_update,fair_market_value,fair_market_value_date,down_payment,interest_rate,balloon_payment
1423,Truck 0624,ACTIVE,Owner Operator Owned,2024-09-18,0,0,2024-09-18,,Adolfo Reyes,PETERBILT,TT,2018,,,989212,5-11-2025 12:11:18,,,,0,
1424,SPOT-Truck 0298,ACTIVE,Lease Purchase,2024-05-01,176000,3895.03,2024-05-01,2029-05-01,Impel Leasing LLC,Kenworth,T680,2025,65,,166340,5-12-2025 3:35:46,0,,0,11.78,1
1425,SPOT-Truck 0001,ACTIVE,Lease Purchase,2023-04-01,141555,3248,2023-04-01,2027-04-01,"TPine Leasing Capital, L.P.",Peterbilt,579,2022,132098,,419838,5-11-2025 18:26:48,66161,29-04-25,21800,13.9,101
1426,SPOT-Truck 0225,ACTIVE,Lease Purchase,2024-11-01,211200,3195,2024-11-01,2029-10-01,Cresco Capital Inc,Kenworth,T680,2025,13,,89671,5-12-2025 0:27:51,0,,22695,8.02,0
1427,SPOT-Truck 0440,ACTIVE,Operating lease,2024-10-01,185000,4229,2024-11-01,2027-08-01,Transport Enterprise Leasing LLC,Peterbilt,579,2025,980,,85379,5-12-2025 0:54:45,0,,0,0,0
1431,SPOT-Truck 0161,ACTIVE,Lease Purchase,2023-12-01,169000,3674,2023-12-01,2028-06-01,"TPine Leasing Capital, L.P.",Peterbilt,579,2024,13652,,265876,5-12-2025 7:45:48,0,,17051.5,11.78,101
1432,SPOT-Truck 0421,ACTIVE,Lease Purchase,2024-11-01,175000,3575,2024-12-01,2029-12-01,HEC Leasing LLC,Freightliner,Cascadia,2025,1371,,82743,5-11-2025 5:28:34,0,,0,11.9,25000
1433,SPOT-Truck 0278,ACTIVE,Financed,2024-11-01,175730.33,3296,2024-11-01,2029-11-01,Volvo Financial Services,VOLVO,VNL860,2025,25617,,70850,5-12-2025 3:43:58,0,,17549.89,9.16,0
1434,SPOT-Truck 0172,ACTIVE,Financed,2024-08-01,160000,3235.07,2024-08-01,2029-03-01,"RTS Financial Service, Inc",Freightliner,Cascadia,2024,56705,,110814,1-8-2025 2:23:54,0,,24000,11.46,0
1435,Truck 0400,ACTIVE,Owner operator owned,2024-10-09,,,,,John Tewolde,Kenworth,CONSTRUCTION,2019,,,936747,5-12-2025 4:31:37,,,,,
1436,SPOT-Truck 0157,ACTIVE,Lease Purchase,2023-04-01,146555,3398,2023-04-01,2027-04-01,"TPine Leasing Capital, L.P.",Peterbilt,579,2022,128706,,496101,5-8-2025 20:50:09,63836,29-04-25,22500,13.98,101
1439,SPOT-Truck 0808,INACTIVE,Rental,2024-08-01,0,3728,2024-08-01,,Ryder Truck Rental,Freightliner,Cascadia,2020,663088,,,,0,,0,0,0
1440,SPOT-Truck 1001,INACTIVE,Rental,2024-10-01,0,0,2024-11-01,,KTN Logistics Inc,Kenworth,T680,2023,223823,,,,0,,0,0,0
1444,Truck 0865,INACTIVE,Owner operator owned,,0,0,,,Temp Vendor,kenworth,TT,2018,0,,,,0,,0,0,0
1445,SPOT-Truck 0522,ACTIVE,Operating lease,2024-11-01,185000,3687,2024-12-01,2027-06-01,Transport Enterprise Leasing LLC,Peterbilt,579,2025,216,,71763,5-9-2025 21:36:21,0,,0,0,0
1446,SPOT-Truck 0243,ACTIVE,Operating lease,2023-08-01,167263,4122.35,2023-08-01,2029-02-01,Ryder Truck Rental,Freightliner,Cascadia,2024,1772,,329870,5-12-2025 4:03:32,0,,0,0,0
1447,SPOT-Truck 0659,INACTIVE,Rental,2024-09-01,0,3716,2024-09-01,2024-12-01,Ryder Truck Rental,Freightliner,Cascadia,2023,340756,2-21-2025 1:27:21,,,0,,0,0,0
1455,Truck 0705,ACTIVE,Owner operator owned,2024-09-01,0,0,2024-09-01,,Cameo Carriers LLC,VOLVO,TT,2012,0,,1177227,5-11-2025 15:43:51,0,,0,0,0
1456,SPOT-Truck 0443,ACTIVE,Lease Purchase,2024-11-01,175000,3575,2024-12-01,2029-12-01,HEC Leasing LLC,Freightliner,Cascadia,2025,29,,78036,5-12-2025 9:26:22,0,,0,11.9,25000
1457,SPOT-Truck 0064,ACTIVE,Operating lease,2023-04-01,145030,4070,2023-04-01,2028-04-01,Penske,Freightliner,Cascadia,2023,411023,,470756,5-11-2025 6:47:12,88125,29-04-25,0,0,0
1458,SPOT-Truck 0215,ACTIVE,Lease Purchase,2024-11-01,211200,3195,2024-11-01,2029-10-01,Cresco Capital Inc,Kenworth,T680,2025,840,,95449,5-12-2025 7:36:54,0,,22695,8.02,0
